0,0.045313
0.001,0.045311
0.002,0.04531
0.003,0.045308
0.004,0.045307
0.005,0.045305
0.006,0.045304
0.007,0.045302
0.008,0.0453
0.009,0.045299
0.01,0.045297
0.011,0.045296
0.012,0.045294
0.013,0.045292
0.014,0.045291
0.015,0.045289
0.016,0.045288
0.017,0.045286
0.018,0.045284
0.019,0.045283
0.02,0.045281
0.021,0.04528
0.022,0.045278
0.023,0.045276
0.024,0.045275
0.025,0.045273
0.026,0.045272
0.027,0.04527
0.028,0.045268
0.029,0.045267
0.03,0.045265
0.031,0.045264
0.032,0.045262
0.033,0.04526
0.034,0.045259
0.035,0.045257
0.036,0.045256
0.037,0.045254
0.038,0.045252
0.039,0.045251
0.04,0.045249
0.041,0.045248
0.042,0.045246
0.043,0.045244
0.044,0.045243
0.045,0.045241
0.046,0.04524
0.047,0.045238
0.048,0.045237
0.049,0.045235
0.05,0.045233
0.051,0.045232
0.052,0.04523
0.053,0.045229
0.054,0.045227
0.055,0.045225
0.056,0.045224
0.057,0.045222
0.058,0.045221
0.059,0.045219
0.06,0.045217
0.061,0.045216
0.062,0.045214
0.063,0.045213
0.064,0.045211
0.065,0.045209
0.066,0.045208
0.067,0.045206
0.068,0.045205
0.069,0.045203
0.07,0.045201
0.071,0.0452
0.072,0.045198
0.073,0.045197
0.074,0.045195
0.075,0.045193
0.076,0.045192
0.077,0.04519
0.078,0.045188
0.079,0.045185
0.08,0.045183
0.081,0.04518
0.082,0.045177
0.083,0.045174
0.084,0.045171
0.085,0.045168
0.086,0.045166
0.087,0.045163
0.088,0.04516
0.089,0.045157
0.09,0.045154
0.091,0.045151
0.092,0.045148
0.093,0.045146
0.094,0.045141
0.095,0.045135
0.096,0.04513
0.097,0.045125
0.098,0.04512
0.099,0.045115
0.1,0.04511
0.101,0.045105
0.102,0.0451
0.103,0.045095
0.104,0.04509
0.105,0.045085
0.106,0.04508
0.107,0.045075
0.108,0.04507
0.109,0.045065
0.11,0.045059
0.111,0.045054
0.112,0.045049
0.113,0.045044
0.114,0.045039
0.115,0.045034
0.116,0.045029
0.117,0.045024
0.118,0.045019
0.119,0.045014
0.12,0.045009
0.121,0.045004
0.122,0.044999
0.123,0.044994
0.124,0.044989
0.125,0.044984
0.126,0.044978
0.127,0.044973
0.128,0.044968
0.129,0.044963
0.13,0.044958
